,Idade,Sexo,Dependentes,Nivel_educacional,Estado_civil,Renda,limite_do_cartao2
159,53,F,2,Unknown,Married,Less than $40K,0
160,49,M,5,College,Married,$40K - $60K,0
161,49,M,5,College,Married,$40K - $60K,0
162,45,F,2,College,Married,Less than $40K,0
163,54,M,2,Graduate,Married,$80K - $120K,0
164,54,M,2,Graduate,Married,$80K - $120K,0
165,46,F,3,Doctorate,Single,Unknown,0
166,46,M,4,High School,Married,$120K +,0
167,50,M,3,Post-Graduate,Single,$120K +,0
168,73,M,0,High School,Married,$40K - $60K,0
169,56,M,3,Unknown,Unknown,$40K - $60K,0
170,59,M,0,High School,Single,$40K - $60K,0
171,70,M,0,High School,Married,Less than $40K,0
172,55,F,2,High School,Married,Less than $40K,0
173,55,F,2,High School,Married,Less than $40K,0
174,55,F,2,High School,Married,Less than $40K,0
175,45,M,1,Uneducated,Single,$120K +,0
176,45,F,2,Uneducated,Single,$40K - $60K,0
177,45,F,2,Uneducated,Single,$40K - $60K,0
178,45,F,2,Uneducated,Single,$40K - $60K,0
179,59,F,0,Post-Graduate,Married,$40K - $60K,0
180,46,F,1,Unknown,Married,Less than $40K,0
181,43,F,4,Graduate,Divorced,Unknown,0
182,64,F,0,High School,Married,$40K - $60K,0
183,54,M,5,Graduate,Married,$60K - $80K,0
184,57,M,0,Uneducated,Married,$40K - $60K,0
185,42,F,4,Uneducated,Married,Less than $40K,0
186,42,F,4,Uneducated,Married,Less than $40K,0
187,42,F,4,Uneducated,Married,Less than $40K,0
188,42,F,4,Uneducated,Married,Less than $40K,0
189,45,M,2,Graduate,Single,$60K - $80K,0
190,48,F,4,High School,Married,$40K - $60K,0
191,48,F,4,High School,Married,$40K - $60K,0
192,61,M,0,Graduate,Married,$40K - $60K,0
193,61,M,0,Graduate,Married,$40K - $60K,0
194,45,F,4,Graduate,Single,Less than $40K,0
195,45,F,4,Graduate,Single,Less than $40K,0
196,45,F,4,Graduate,Single,Less than $40K,0
197,45,F,4,Graduate,Single,Less than $40K,0
198,45,F,4,Graduate,Single,Less than $40K,0
199,54,F,4,Graduate,Married,Unknown,0
200,54,F,4,Graduate,Married,Unknown,0
201,54,F,3,Doctorate,Married,Unknown,0
202,50,F,4,Doctorate,Single,Unknown,0
203,60,M,0,High School,Married,$40K - $60K,0
204,55,M,2,High School,Married,$40K - $60K,0
205,62,F,0,High School,Married,$40K - $60K,0
206,38,F,1,High School,Unknown,Less than $40K,0
207,45,M,2,Uneducated,Married,$60K - $80K,0
208,61,M,0,Graduate,Married,$60K - $80K,0
209,61,M,0,Graduate,Married,$60K - $80K,0
210,53,F,3,Graduate,Married,Less than $40K,0
211,53,F,3,Graduate,Married,Less than $40K,0
212,53,F,3,Graduate,Married,Less than $40K,0
213,53,F,3,Graduate,Married,Less than $40K,0
214,53,F,3,Graduate,Married,Less than $40K,0
215,63,F,0,Unknown,Married,Less than $40K,0
216,63,F,0,Unknown,Married,Less than $40K,0
217,63,F,0,Unknown,Married,Less than $40K,0
218,49,F,4,High School,Married,Less than $40K,0
219,49,F,4,High School,Married,Less than $40K,0
220,49,F,4,High School,Married,Less than $40K,0
221,49,F,4,High School,Married,Less than $40K,0
222,49,F,4,High School,Married,Less than $40K,0
223,55,F,2,Uneducated,Married,Unknown,0
224,34,M,3,High School,Married,$60K - $80K,0
225,44,F,2,Post-Graduate,Married,Less than $40K,0
226,44,F,2,Post-Graduate,Married,Less than $40K,0
227,44,F,2,Post-Graduate,Married,Less than $40K,0
228,46,F,3,Unknown,Married,Less than $40K,0
229,43,F,3,Graduate,Single,$40K - $60K,0
230,43,F,3,Graduate,Single,$40K - $60K,0
231,43,F,3,Graduate,Single,$40K - $60K,0
232,43,F,3,Graduate,Single,$40K - $60K,0
233,38,F,4,Uneducated,Single,Less than $40K,0
234,53,F,1,Graduate,Single,Less than $40K,0
235,53,F,1,Graduate,Single,Less than $40K,0
236,53,F,1,Graduate,Single,Less than $40K,0
237,53,F,1,Graduate,Single,Less than $40K,0
238,53,F,1,Graduate,Single,Less than $40K,0
239,53,F,1,Graduate,Single,Less than $40K,0
240,53,F,1,Graduate,Single,Less than $40K,0
241,53,M,1,High School,Married,$120K +,0
242,56,F,1,Graduate,Married,Less than $40K,0
243,56,F,1,Graduate,Married,Less than $40K,0
244,56,F,1,Graduate,Married,Less than $40K,0
245,56,F,1,Graduate,Married,Less than $40K,0
246,56,F,1,Graduate,Married,Less than $40K,0
247,54,M,2,Unknown,Married,$40K - $60K,0
248,57,F,3,High School,Married,Less than $40K,0
249,57,F,3,High School,Married,Less than $40K,0
250,57,F,3,High School,Married,Less than $40K,0
251,57,F,3,High School,Married,Less than $40K,0
252,57,F,3,High School,Married,Less than $40K,0
253,62,M,1,High School,Married,Less than $40K,0
254,52,M,3,Graduate,Single,$80K - $120K,0
255,58,M,1,Uneducated,Married,$40K - $60K,0
256,58,F,3,High School,Married,Less than $40K,0
257,62,F,0,Uneducated,Married,Less than $40K,0
258,54,M,2,Graduate,Married,Less than $40K,0
259,40,F,3,High School,Divorced,Less than $40K,0
260,43,M,3,Graduate,Married,$80K - $120K,0
261,43,M,3,Graduate,Married,$80K - $120K,0
262,43,M,3,Graduate,Married,$80K - $120K,0
263,43,M,3,Graduate,Married,$80K - $120K,0
264,55,M,1,Uneducated,Single,$40K - $60K,0
265,50,F,1,Uneducated,Married,Less than $40K,0
266,50,F,1,Uneducated,Married,Less than $40K,0
267,50,F,1,Uneducated,Married,Less than $40K,0
268,50,F,1,Uneducated,Married,Less than $40K,0
269,50,F,1,Uneducated,Married,Less than $40K,0
270,40,M,2,Graduate,Single,$80K - $120K,0
271,50,F,2,Graduate,Married,$40K - $60K,0
272,47,F,2,Graduate,Married,Less than $40K,0
273,47,F,2,Graduate,Married,Less than $40K,0
274,47,F,2,Graduate,Married,Less than $40K,0
275,47,F,2,Graduate,Married,Less than $40K,0
276,47,F,2,Graduate,Married,Less than $40K,0
277,47,F,2,Graduate,Married,Less than $40K,0
278,36,F,4,Graduate,Married,$40K - $60K,0
279,40,F,4,Graduate,Single,Less than $40K,0
280,40,F,4,Graduate,Single,Less than $40K,0
281,40,F,4,Graduate,Single,Less than $40K,0
282,40,F,4,Graduate,Single,Less than $40K,0
283,40,F,4,Graduate,Single,Less than $40K,0
284,54,F,4,High School,Married,Less than $40K,0
285,55,F,1,High School,Single,Less than $40K,0
286,55,F,1,High School,Single,Less than $40K,0
287,45,M,4,High School,Married,$40K - $60K,0
288,49,M,3,Graduate,Married,$40K - $60K,0
289,37,M,4,Graduate,Married,$80K - $120K,0
290,53,F,1,High School,Married,Less than $40K,0
291,53,F,1,High School,Married,Less than $40K,0
292,53,F,1,High School,Married,Less than $40K,0
293,53,F,1,High School,Married,Less than $40K,0
294,53,F,1,High School,Married,Less than $40K,0
295,64,M,0,Unknown,Married,Less than $40K,0
296,64,M,0,Unknown,Married,Less than $40K,0
297,54,F,2,Graduate,Married,Less than $40K,0
298,54,F,2,Graduate,Married,Less than $40K,0
299,54,F,2,Graduate,Married,Less than $40K,0
300,54,F,2,Graduate,Married,Less than $40K,0
301,54,F,2,Graduate,Married,Less than $40K,0
302,39,F,3,College,Single,Less than $40K,0
303,59,F,1,Post-Graduate,Married,$40K - $60K,0
304,55,M,0,High School,Married,$120K +,0
305,52,M,1,Uneducated,Single,$80K - $120K,0
306,57,M,2,Uneducated,Married,$120K +,0
307,67,M,1,Uneducated,Married,$40K - $60K,0
308,39,M,1,Graduate,Married,$60K - $80K,0
309,55,F,2,Unknown,Married,Less than $40K,0
310,55,F,2,Unknown,Married,Less than $40K,0
311,42,F,2,Graduate,Married,Less than $40K,0
312,42,F,2,Graduate,Married,Less than $40K,0
313,42,F,2,Graduate,Married,Less than $40K,0
314,42,F,2,Graduate,Married,Less than $40K,0
315,57,M,2,Unknown,Single,$80K - $120K,0
316,56,M,3,Unknown,Single,$60K - $80K,0
317,49,F,3,Graduate,Married,Less than $40K,0
318,49,F,3,Graduate,Married,Less than $40K,0
319,49,F,3,Graduate,Married,Less than $40K,0
320,63,M,0,High School,Married,$60K - $80K,0
321,44,M,3,Graduate,Single,$80K - $120K,0
322,58,F,4,Unknown,Married,Less than $40K,0
323,47,F,4,Unknown,Divorced,$40K - $60K,0
324,50,F,2,College,Divorced,Less than $40K,0
325,50,F,2,College,Divorced,Less than $40K,0
326,46,F,2,Graduate,Married,$40K - $60K,0
327,48,M,1,Unknown,Divorced,$80K - $120K,0
328,53,F,2,College,Married,$40K - $60K,0
329,52,F,1,Graduate,Single,Less than $40K,0
330,52,F,1,Graduate,Single,Less than $40K,0
331,52,F,1,Graduate,Single,Less than $40K,0
332,52,F,1,Graduate,Single,Less than $40K,0
333,53,F,2,Uneducated,Single,Less than $40K,0
334,54,M,2,Graduate,Married,$60K - $80K,0
335,54,M,2,Graduate,Married,$60K - $80K,0
336,53,M,2,Uneducated,Married,$80K - $120K,0
337,59,F,0,Graduate,Single,Less than $40K,0
338,56,M,4,Uneducated,Single,Less than $40K,0
339,43,F,2,Uneducated,Single,Less than $40K,0
340,43,F,2,Uneducated,Single,Less than $40K,0
341,43,F,2,Uneducated,Single,Less than $40K,0
342,43,F,2,Uneducated,Single,Less than $40K,0
343,61,M,1,Uneducated,Single,$60K - $80K,0
344,37,F,0,Post-Graduate,Married,Less than $40K,0
345,56,M,3,Graduate,Married,$60K - $80K,0
346,52,F,3,Post-Graduate,Single,Less than $40K,0
347,52,F,3,Post-Graduate,Single,Less than $40K,0
348,37,F,1,Graduate,Married,$40K - $60K,0
349,46,F,4,Post-Graduate,Married,Less than $40K,0
350,48,F,3,High School,Divorced,$40K - $60K,0
351,48,F,3,High School,Divorced,$40K - $60K,0
352,39,F,3,College,Married,Less than $40K,0
353,57,M,1,College,Single,$40K - $60K,0
354,54,F,0,College,Married,Less than $40K,0
355,54,M,1,Graduate,Married,$60K - $80K,0
356,44,M,1,Unknown,Married,Unknown,0
357,56,F,1,College,Married,Less than $40K,0
358,45,F,4,Graduate,Married,Unknown,0
359,45,F,4,Graduate,Married,Unknown,0
360,45,F,4,Graduate,Married,Unknown,0
361,56,F,5,College,Single,Less than $40K,0
362,65,F,1,High School,Married,Less than $40K,0
363,56,M,3,Post-Graduate,Married,$60K - $80K,0
364,62,F,1,High School,Married,Less than $40K,0
365,62,F,1,High School,Married,Less than $40K,0
366,45,F,3,Uneducated,Single,Unknown,0
367,38,F,2,Uneducated,Single,Less than $40K,0
368,38,F,2,Uneducated,Single,Less than $40K,0
369,38,F,2,Uneducated,Single,Less than $40K,0
370,41,F,4,Graduate,Single,$40K - $60K,0
371,33,M,2,Graduate,Married,$60K - $80K,0
372,47,F,4,College,Single,Less than $40K,0
373,47,F,4,College,Single,Less than $40K,0
374,51,M,1,Graduate,Single,$60K - $80K,0
375,55,F,3,Unknown,Married,$40K - $60K,0
376,26,M,0,Graduate,Single,Less than $40K,0
377,26,M,0,Graduate,Single,Less than $40K,0
378,26,M,0,Graduate,Single,Less than $40K,0
379,26,M,0,Graduate,Single,Less than $40K,0
380,26,M,0,Graduate,Single,Less than $40K,0
381,48,F,3,Graduate,Divorced,Less than $40K,0
382,53,F,2,Doctorate,Married,Unknown,0
383,45,M,2,Graduate,Married,$60K - $80K,0
384,45,M,2,Graduate,Married,$60K - $80K,0
385,47,M,1,Graduate,Married,$60K - $80K,0
386,50,F,4,Graduate,Single,Less than $40K,0
387,50,F,4,Graduate,Single,Less than $40K,0
388,50,F,4,Graduate,Single,Less than $40K,0
389,61,F,1,Unknown,Married,Unknown,0
390,43,F,2,Post-Graduate,Married,Less than $40K,0
391,43,F,2,Post-Graduate,Married,Less than $40K,0
392,65,M,2,Unknown,Married,Less than $40K,0
393,40,M,4,College,Unknown,$80K - $120K,0
394,26,M,0,Graduate,Single,$40K - $60K,0
395,60,M,0,Uneducated,Single,Less than $40K,0
396,62,M,0,Graduate,Married,$60K - $80K,0
397,59,M,0,Graduate,Single,$40K - $60K,0
398,46,M,4,Graduate,Single,$60K - $80K,0
399,44,M,4,High School,Single,$60K - $80K,0
400,44,M,4,High School,Single,$60K - $80K,0
401,40,M,3,High School,Unknown,$60K - $80K,0
402,50,F,2,High School,Married,Less than $40K,0
403,50,F,2,High School,Married,Less than $40K,0
404,50,F,2,High School,Married,Less than $40K,0
405,50,F,2,High School,Married,Less than $40K,0
406,56,M,1,College,Married,$60K - $80K,0
407,55,M,1,High School,Married,$60K - $80K,0
408,53,F,4,High School,Married,Less than $40K,0
409,57,M,2,High School,Married,$60K - $80K,0
410,50,M,2,Graduate,Married,$80K - $120K,0
411,50,M,2,Graduate,Married,$80K - $120K,0
412,60,M,0,Graduate,Married,Less than $40K,0
413,55,M,3,Uneducated,Married,$60K - $80K,0
414,55,F,1,Unknown,Married,Less than $40K,0
415,55,F,1,Unknown,Married,Less than $40K,0
416,55,F,1,Unknown,Married,Less than $40K,0
417,55,F,1,Unknown,Married,Less than $40K,0
418,55,F,1,Unknown,Married,Less than $40K,0
419,57,F,0,High School,Married,$40K - $60K,0
420,31,M,0,Uneducated,Married,$40K - $60K,0
421,34,F,2,Graduate,Married,Less than $40K,0
422,34,F,2,Graduate,Married,Less than $40K,0
423,35,F,1,College,Single,Unknown,0
424,44,F,4,Graduate,Married,Less than $40K,0
425,44,F,4,Graduate,Married,Less than $40K,0
426,44,F,4,Graduate,Married,Less than $40K,0
427,44,F,4,Graduate,Married,Less than $40K,0
428,56,F,4,Unknown,Married,Less than $40K,0
429,56,F,4,Unknown,Married,Less than $40K,0
430,26,M,0,College,Single,Less than $40K,0
431,26,M,0,College,Single,Less than $40K,0
432,65,F,0,Graduate,Married,$40K - $60K,0
433,65,F,0,Graduate,Married,$40K - $60K,0
434,39,F,3,Post-Graduate,Married,$40K - $60K,0
435,52,M,2,High School,Married,$120K +,0
436,42,M,3,Unknown,Single,$80K - $120K,0
437,44,F,3,College,Unknown,Less than $40K,0
438,50,F,3,Unknown,Married,Less than $40K,0
439,36,F,2,Graduate,Married,Less than $40K,0
440,36,F,2,Graduate,Married,Less than $40K,0
441,36,F,2,Graduate,Married,Less than $40K,0
442,65,M,1,Uneducated,Married,$40K - $60K,0
443,43,F,2,Graduate,Married,Less than $40K,0
444,43,F,2,Graduate,Married,Less than $40K,0
445,43,F,2,Graduate,Married,Less than $40K,0
446,43,F,2,Graduate,Married,Less than $40K,0
447,43,F,2,Graduate,Married,Less than $40K,0
448,43,F,2,Graduate,Married,Less than $40K,0
449,50,M,2,High School,Unknown,$60K - $80K,0
450,43,F,3,Graduate,Married,$40K - $60K,0
451,43,F,3,Graduate,Married,$40K - $60K,0
452,43,F,3,Graduate,Married,$40K - $60K,0
453,43,F,3,Graduate,Married,$40K - $60K,0
454,54,M,3,High School,Married,$80K - $120K,0
455,54,M,3,High School,Married,$80K - $120K,0
456,55,F,4,Graduate,Married,$40K - $60K,0
457,55,F,4,Graduate,Married,$40K - $60K,0
458,46,M,4,Graduate,Married,$60K - $80K,0
459,46,M,4,Graduate,Married,$60K - $80K,0
460,61,F,0,Graduate,Married,Less than $40K,0
461,61,F,0,Graduate,Married,Less than $40K,0
462,61,F,0,Graduate,Married,Less than $40K,0
463,61,F,0,Graduate,Married,Less than $40K,0
464,39,M,3,Doctorate,Married,$60K - $80K,0
465,38,M,2,High School,Married,$80K - $120K,0
466,49,F,2,High School,Single,Less than $40K,0
467,49,F,2,High School,Single,Less than $40K,0
468,37,F,0,Unknown,Married,Less than $40K,0
469,44,F,3,Uneducated,Single,Less than $40K,0
470,44,F,3,Uneducated,Single,Less than $40K,0
471,44,F,3,Uneducated,Single,Less than $40K,0
472,44,F,3,Uneducated,Single,Less than $40K,0
473,44,F,3,Uneducated,Single,Less than $40K,0
474,44,F,3,Uneducated,Single,Less than $40K,0
475,50,F,1,Unknown,Single,Less than $40K,0
476,50,F,1,Unknown,Single,Less than $40K,0
477,58,F,2,Uneducated,Married,$40K - $60K,0
478,58,F,2,Uneducated,Married,$40K - $60K,0
479,57,M,1,High School,Married,$40K - $60K,0
480,57,M,1,High School,Married,$40K - $60K,0
481,53,F,3,Uneducated,Married,Less than $40K,0
482,53,F,3,Uneducated,Married,Less than $40K,0
483,53,F,3,Uneducated,Married,Less than $40K,0
484,53,F,3,Uneducated,Married,Less than $40K,0
485,53,F,3,Uneducated,Married,Less than $40K,0
486,45,F,1,Doctorate,Single,Less than $40K,0
487,51,F,4,Graduate,Single,Less than $40K,0
488,51,F,4,Graduate,Single,Less than $40K,0
489,51,F,4,Graduate,Single,Less than $40K,0
490,51,F,4,Graduate,Single,Less than $40K,0
491,40,F,5,College,Married,Less than $40K,0
492,33,M,2,Doctorate,Married,$60K - $80K,0
493,56,M,4,High School,Married,$60K - $80K,0
494,56,M,4,High School,Married,$60K - $80K,0
495,62,F,2,Graduate,Married,Less than $40K,0
496,62,F,2,Graduate,Married,Less than $40K,0
497,37,M,4,Graduate,Married,$60K - $80K,0
498,50,M,1,Graduate,Married,$80K - $120K,0
499,60,F,1,Uneducated,Divorced,$40K - $60K,0
500,60,F,1,Uneducated,Divorced,$40K - $60K,0
501,47,M,2,College,Married,$120K +,0
502,56,F,4,High School,Married,$40K - $60K,0
503,41,M,3,Uneducated,Married,$80K - $120K,0
504,36,F,3,High School,Married,Less than $40K,0
505,36,F,3,High School,Married,Less than $40K,0
506,36,F,3,High School,Married,Less than $40K,0
507,36,F,3,High School,Married,Less than $40K,0
508,36,F,3,High School,Married,Less than $40K,0
509,57,F,2,Unknown,Married,Less than $40K,0
510,57,F,2,Unknown,Married,Less than $40K,0
511,43,M,3,Unknown,Married,$40K - $60K,0
512,43,M,3,Unknown,Married,$40K - $60K,0
513,44,F,5,Unknown,Single,Less than $40K,0
514,55,M,2,Unknown,Single,$60K - $80K,0
515,55,M,2,Unknown,Single,$60K - $80K,0
516,59,F,1,Unknown,Married,Unknown,0
517,55,F,2,Post-Graduate,Married,Less than $40K,0
518,55,F,2,Post-Graduate,Married,Less than $40K,0
519,39,F,2,Graduate,Married,Less than $40K,0
520,39,F,2,Graduate,Married,Less than $40K,0
521,39,F,2,Graduate,Married,Less than $40K,0
522,39,F,2,Graduate,Married,Less than $40K,0
523,39,F,2,Graduate,Married,Less than $40K,0
524,42,F,4,Graduate,Single,Less than $40K,0
525,42,F,4,Graduate,Single,Less than $40K,0
526,42,F,4,Graduate,Single,Less than $40K,0
527,42,F,4,Graduate,Single,Less than $40K,0
528,42,F,4,Graduate,Single,Less than $40K,0
529,39,M,1,College,Single,$40K - $60K,0
530,41,M,4,Unknown,Married,Less than $40K,0
531,41,M,4,Unknown,Married,Less than $40K,0
532,52,F,1,High School,Married,$40K - $60K,0
533,40,F,2,Graduate,Married,Less than $40K,0
534,40,F,2,Graduate,Married,Less than $40K,0
535,40,F,2,Graduate,Married,Less than $40K,0
536,32,F,1,Unknown,Married,Less than $40K,0
537,58,M,2,Graduate,Married,$40K - $60K,0
538,26,M,0,Unknown,Single,$40K - $60K,0
539,39,F,1,Graduate,Married,Unknown,0
540,39,F,1,Graduate,Married,Unknown,0
541,36,F,1,College,Single,$40K - $60K,0
542,62,F,0,Unknown,Married,$40K - $60K,0
543,58,M,0,Uneducated,Married,$80K - $120K,0
544,42,M,4,Graduate,Single,$60K - $80K,0
545,42,M,4,Graduate,Single,$60K - $80K,0
546,49,M,4,Doctorate,Married,$60K - $80K,0
547,29,M,2,High School,Married,$80K - $120K,0
548,54,M,4,Graduate,Married,$120K +,0
549,35,M,2,High School,Married,$40K - $60K,0
550,35,M,3,Doctorate,Single,$40K - $60K,0
551,39,F,2,Unknown,Married,Less than $40K,0
552,39,F,2,Unknown,Married,Less than $40K,0
553,39,F,2,Unknown,Married,Less than $40K,0
